"UniProt1","UniProt2","symbol1","symbol2","evidence type"
"O00220","P48023","TNFRSF10A","FASLG","pred"
"O00220","Q9HC29","TNFRSF10A","NOD2","pred"
"O00221","P17181","NFKBIE","IFNAR1","pred"
"O00231","P35228","PSMD11","NOS2","exp"
"O00232","P35228","PSMD12","NOS2","exp"
"O00238","Q676U5","BMPR1B","ATG16L1","exp"
"O00244","P36969","ATOX1","GPX4","pred"
"O00299","P38484","CLIC1","IFNGR2","pred"
"O00305","P48023","CACNB4","FASLG","exp"
"O00329","P48023","PIK3CD","FASLG","pred"
"O00401","P48023","WASL","FASLG","pred"
"O00401","Q9Y2R2","WASL","PTPN22","pred"
"O00425","Q9HC29","IGF2BP3","NOD2","pred"
"O00453","Q92619","LST1","ARHGAP45","pred"
"O00459","P40189","PIK3R2","IL6ST","pred"
"O00459","P48023","PIK3R2","FASLG","pred"
"O00459","Q9Y2R2","PIK3R2","PTPN22","pred"
"O00461","Q5VWK5","GOLIM4","IL23R","pred"
"O00463","O43353","TRAF5","RIPK2","exp;pred"
"O00463","P40189","TRAF5","IL6ST","exp"
"O00487","P35228","PSMD14","NOS2","exp"
"O00571","P35228","DDX3X","NOS2","exp"
"O00635","P48023","TRIM38","FASLG","pred"
"O00743","P35228","PPP6C","NOS2","exp"
"O00750","P48023","PIK3C2B","FASLG","pred"
"O14490","P48023","DLGAP1","FASLG","pred"
"O14492","O43353","SH2B2","RIPK2","pred"
"O14492","O95267","SH2B2","RASGRP1","pred"
"O14492","P38484","SH2B2","IFNGR2","pred"
"O14492","P40189","SH2B2","IL6ST","pred"
"O14492","Q9Y2R2","SH2B2","PTPN22","pred"
"O14508","O95267","SOCS2","RASGRP1","pred"
"O14512","O95267","SOCS7","RASGRP1","pred"
"O14522","P48023","PTPRT","FASLG","pred"
"O14522","Q9Y2R2","PTPRT","PTPN22","pred"
"O14543","O95267","SOCS3","RASGRP1","pred"
"O14543","P38484","SOCS3","IFNGR2","pred"
"O14543","P40189","SOCS3","IL6ST","exp;ortho;pred"
"O14543","Q8NI17","SOCS3","IL31RA","pred"
"O14543","Q9HC29","SOCS3","NOD2","ortho"
"O14544","O95267","SOCS6","RASGRP1","pred"
"O14544","P17181","SOCS6","IFNAR1","pred"
"O14561","P36969","NDUFAB1","GPX4","pred"
"O14579","Q92619","COPE","ARHGAP45","pred"
"O14582","O43353","-","RIPK2","pred"
"O14640","Q7Z699","DVL1","SPRED1","pred"
"O14641","O43353","DVL2","RIPK2","pred"
"O14641","Q676U5","DVL2","ATG16L1","exp"
"O14641","Q8IV20","DVL2","LACC1","exp"
"O14641","Q9HC29","DVL2","NOD2","pred"
"O14653","Q5VWK5","GOSR2","IL23R","pred"
"O14727","O43353","APAF1","RIPK2","pred"
